type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters,name
SHOW,2016,54,3.0,7.9,18891.0,31.427,7.8,IT,2,war,-1,medici: masters of florence
SHOW,2016,46,3.0,9.0,5890.0,6.44,8.2,US,1,documentation,35,leah remini: scientology and the aftermath
SHOW,2015,57,3.0,7.9,51422.0,17.338,7.3,US,1,drama,13,bloodline
SHOW,2015,42,4.0,7.8,20028.0,19.268,6.9,US,1,comedy,1,crazy ex-girlfriend
SHOW,2015,52,3.0,8.8,410463.0,75.495,7.973,US,1,drama,13,narcos
SHOW,2016,42,7.0,6.8,101178.0,63.898,7.4,US,1,drama,13,dc's legends of tomorrow
SHOW,2016,31,3.0,7.7,18456.0,30.431,7.0,NO,1,comedy,-1,norsemen
SHOW,2016,41,3.0,7.5,36165.0,45.055,7.1,US,1,action,10,shooter
SHOW,2016,45,3.0,7.4,30969.0,25.841,7.1,GB,1,crime,46,marcella
SHOW,2015,43,3.0,7.9,46030.0,22.624,7.6,US,1,action,10,into the badlands
SHOW,2015,43,3.0,7.1,40676.0,38.018,6.9,US,1,thriller,47,scream: the tv series
SHOW,2015,42,5.0,7.8,67213.0,45.203,7.792,US,1,crime,20,izombie
